Date,Open,High,Low,Close,Volume,Adj Close
1998-07-02,78.74,79.05,77.88,79.05,752000,18.48
1998-07-01,77.14,78.93,77.14,78.93,928400,18.45
1998-06-30,77.01,77.39,76.27,76.71,744000,17.93
1998-06-29,77.69,78.19,77.14,77.14,712400,18.03
1998-06-26,77.88,78.31,76.71,77.45,702400,18.10
1998-06-25,78.06,78.74,77.01,77.63,1485600,18.15
1998-06-24,75.90,77.82,75.65,77.57,2054800,18.13
1998-06-23,76.15,76.83,75.65,75.84,1310800,17.73
1998-06-22,74.79,76.15,74.29,75.52,1292000,17.65
1998-06-19,75.78,75.84,74.17,74.42,2238400,17.40
1998-06-18,76.27,76.83,74.23,75.16,2793600,17.57
1998-06-17,72.87,74.67,72.38,74.67,1652000,17.45
1998-06-16,72.44,73.18,69.60,71.02,2049600,16.60
1998-06-15,76.15,76.15,71.33,71.33,1465200,16.67
1998-06-12,79.05,79.12,75.16,77.76,1394800,18.18
1998-06-11,79.30,81.22,78.06,79.36,1566800,18.55
1998-06-10,78.37,80.35,77.94,79.12,890400,18.49
1998-06-09,77.82,78.62,76.89,78.50,905600,18.35
1998-06-08,74.73,77.63,74.23,77.57,711200,18.13
1998-06-05,73.68,75.16,73.06,74.91,929600,17.51
1998-06-04,71.57,74.36,71.20,73.86,862800,17.27
1998-06-03,71.57,72.44,71.39,71.45,705600,16.70
1998-06-02,71.20,72.19,71.08,71.33,1065600,16.67
1998-06-01,69.41,71.82,69.29,71.20,840400,16.65
1998-05-29,70.59,71.39,69.91,70.15,450800,16.40
1998-05-28,68.79,71.39,68.61,70.83,1147200,16.56
1998-05-27,67.99,69.23,67.19,68.55,1432000,16.02
1998-05-26,70.22,70.59,69.66,69.72,887600,16.30
1998-05-22,70.52,71.08,69.29,69.66,1431200,16.28
1998-05-21,69.47,71.02,69.23,70.46,2085600,16.47
1998-05-20,67.37,68.92,66.88,68.79,2670800,16.08
1998-05-19,68.36,68.36,66.88,67.12,768000,15.69
1998-05-18,68.61,69.23,66.63,67.43,808000,15.76
1998-05-15,67.31,68.98,67.12,68.86,946400,16.10
1998-05-14,68.24,68.24,66.75,67.56,942400,15.79
1998-05-13,70.28,70.96,68.42,68.61,475200,16.04
1998-05-12,70.57,70.82,69.03,70.08,476000,16.36
1998-05-11,72.12,72.12,70.14,70.33,505200,16.42
1998-05-08,69.09,72.49,69.09,72.30,1142400,16.88
1998-05-07,69.15,70.39,68.60,69.28,706400,16.18
1998-05-06,70.39,70.39,69.15,69.40,720400,16.21
1998-05-05,69.65,70.02,69.15,69.77,1649600,16.29
1998-05-04,70.88,71.50,69.83,69.89,783600,16.32
1998-05-01,70.70,71.01,70.26,70.63,812800,16.49
1998-04-30,70.14,71.25,69.96,70.20,1055200,16.39
1998-04-29,68.97,69.40,68.35,69.28,1450400,16.18
1998-04-28,69.03,69.89,68.91,68.97,1427600,16.11
1998-04-27,70.63,70.63,68.29,68.78,2277600,16.06
1998-04-24,74.46,75.08,71.62,72.73,1378400,16.98
1998-04-23,76.44,76.69,74.83,74.90,743600,17.49
1998-04-22,76.81,77.24,76.32,77.06,1028000,17.99
1998-04-21,76.19,76.69,74.83,76.32,785600,17.82
1998-04-20,77.43,77.43,75.82,76.38,568000,17.84
1998-04-17,76.93,78.41,75.51,77.18,1432800,18.02
1998-04-16,80.14,80.14,75.45,76.75,1552000,17.92
1998-04-15,82.18,82.18,80.64,80.64,1055200,18.83
1998-04-14,81.38,83.66,81.38,82.43,1217600,19.25
1998-04-13,81.93,82.49,80.02,81.19,2015600,18.96
1998-04-09,78.48,82.24,78.48,82.00,1595600,19.15
1998-04-08,77.92,78.54,77.92,78.23,685600,18.27
1998-04-07,79.65,79.65,77.80,77.92,1602400,18.20
1998-04-06,79.03,80.88,77.92,79.83,3231200,18.64
1998-04-03,75.39,75.88,73.72,73.72,1523200,17.22
1998-04-02,74.22,75.02,73.91,74.96,1199200,17.50
1998-04-01,74.59,74.59,73.72,73.85,938800,17.24
1998-03-31,73.72,74.59,73.54,73.97,1561600,17.27
1998-03-30,72.73,74.83,72.43,73.29,2320800,17.11
1998-03-27,71.38,73.60,71.38,72.92,2767600,17.03
1998-03-26,71.93,71.99,70.88,71.19,1020800,16.62
1998-03-25,73.10,74.09,71.99,72.12,2594000,16.84
1998-03-24,70.57,72.73,70.57,72.73,1058400,16.98
1998-03-23,70.39,71.68,69.89,70.33,1129200,16.42
1998-03-20,71.68,72.98,71.68,71.99,1386000,16.81
1998-03-19,71.99,72.06,71.01,71.87,1986400,16.78
1998-03-18,69.40,72.61,69.40,72.06,1744400,16.83
1998-03-17,69.52,69.71,68.84,69.46,1388800,16.22
1998-03-16,68.78,69.71,68.72,68.78,1028800,16.06
1998-03-13,68.54,69.03,67.92,68.54,851200,16.00
1998-03-12,67.98,68.84,67.79,68.47,1101200,15.99
1998-03-11,70.39,70.39,68.17,68.23,1210800,15.93
1998-03-10,65.94,69.03,65.94,68.91,942400,16.09
1998-03-09,65.94,66.68,65.32,65.94,647200,15.40
1998-03-06,63.23,66.19,63.23,65.94,780400,15.40
1998-03-05,63.35,63.53,62.61,63.04,1044400,14.72
1998-03-04,64.89,64.89,63.66,63.66,910000,14.87
1998-03-03,61.62,65.63,61.62,65.14,1735600,15.21
